PDBcode  resolution  releaseyear  pKd(pKi)  Kd(Ki)  cluster ID
1hk4   2.40  2003   5.31  Kd=4.9uM      498 
1ha2   2.50  2001   5.54  Kd=2.9uM      498 
1gni   2.40  2002   8.07  Kd=8.5nM      498 
1nhu   2.00  2003   5.66  Ki=2.2uM      519 
2d3z   1.80  2006   6.64  Ki=0.23uM     519 
2d3u   2.00  2006   6.92  Ki=0.12uM     519 
1ajp   2.31  1997   2.23  Ki=5.85mM     581 4800 
1ai5   2.36  1997   3.72  Ki=0.189mM    581 4800 
1ajq   2.05  1997   4.31  Ki=0.049mM    581 4800 
1gpk   2.10  2002   5.37  Ki=4.3uM      661 
1h23   2.15  2002   8.35  Ki=4.5nM      661 
1e66   2.10  2001   9.89  Ki=0.13nM     661 
2rkm   1.80  1997   3.90  Ki=125uM      780 
1b9j   1.80  1999   5.96  Kd=1100nM     780 
1b7h   2.00  1998   8.02  Kd=0.0095uM   780 
1u2y   1.95  2004   1.74  Ki=18mM       927 
1u33   1.95  2004   4.60  Ki=25uM       927 
1xd1   2.20  2004   7.92  Ki=0.012uM    927 
1uwt   1.95  2004   5.97  Ki=1.08uM     984 
2ceq   2.14  2006   7.28  Ki=53nM       984 
2cer   2.29  2006   9.22  Ki<=0.6nM     984 
2qwb   2.00  1998   2.74  Ki=1820uM     1145 
2qwd   2.00  1998   4.85  Ki=14uM       1145 
2qwe   2.00  1998   7.48  Ki=0.033uM    1145 
2j77   2.10  2006   4.89  Kd=12.9uM     1162 
2j78   1.65  2006   6.42  Kd=384nM      1162 
2cet   1.97  2006   8.02  Kd=9.6nM      1162 
1m0n   2.20  2002   2.22  Ki=6.0mM      1485  
1zc9   2.00  2006   3.22  Kd=0.6mM      1485 
1m0q   2.00  2002   3.89  Ki=0.13mM     1485 
2fdp   2.50  2006   7.59  Ki=26nM       1753 
1fkn   1.90  2000   8.80  Ki=1.6nM      1753 
2g94   1.86  2006   9.52  Ki=0.3nM      1753 
1v16   1.90  2004   3.87  Kd=134.8uM    1885 2846 
1olu   1.90  2003   4.41  Kd=39.3uM     1885 2846 
1ols   1.85  2003   5.82  Kd=1.52uM     1885 2846 
1tok   1.85  2004   2.47  Kd=3.4mM      1932 
1toj   1.90  2004   3.39  Kd=0.41mM     1932 
1toi   1.90  2004   4.05  Kd=0.090mM    1932 
1n2v   2.10  2003   4.08  Ki=83uM       2094 
1k4g   1.70  2002   5.85  Ki=1.4uM      2094 
1s39   1.95  2004   7.70  Ki=20nM       2094 
1kv1   2.50  2002   5.94  Kd=1.16uM     2187 
2bak   2.20  2005   7.43  Kd=37nM       2187 
2baj   2.25  2005   8.40  Kd=4.0nM      2187 
1ndw   2.00  2003   5.23  Ki=5900nM     2465 
1ndy   2.00  2003   6.17  Ki=680nM      2465 
1ndz   2.00  2003   8.11  Ki=7.7nM      2465 
2hdq   2.10  2006   1.40  Ki=40mM       2546 
1l2s   1.94  2002   4.59  Ki=26uM       2546 
1xgj   1.97  2005   6.00  Ki=1.0uM      2546 
1q8t   2.00  2003   4.76  Kd=17.5uM     2656 14416 
1ydt   2.30  1997   7.32  Ki=48nM       2656 14416 
1re8   2.10  2004   9.52  Ki=0.3nM      2656 
1g7q   1.60  2002   6.06  Kd=877nM      2738 10451 
1fzj   1.90  2001   8.10  Kd=8nM        2738 10451
1fzk   1.70  2001   8.40  Kd=4nM        2738 10451 
1m2q   1.79  2003   6.10  Ki=0.80uM     3053 
1om1   1.68  2004   6.77  Ki=0.17uM     3053 
1zoe   1.77  2005   7.40  Ki=40nM       3053 
2azr   2.00  2005   3.64  Ki=230uM      3095
1g7f   1.80  2001   5.47  Ki=3.4uM      3095 
1nny   2.40  2003   7.66  Ki=22nM       3095 
5er1   2.00  1991   6.02  Ki=960nM      3098 
2er9   2.20  1991   7.40  Ki=40nM       3098 
4er2   2.00  1991   9.30  Ki=0.5nM      3098 
1ppm   1.70  1993   5.80  Ki=1600nM     3249 
1apw   1.80  1994   8.00  Ki=10nM       3249 
1bxo   0.95  1998  10.00  Ki=0.10nM     3249 
1nje   2.30  1996   3.80  Kd=160uM      3425 
1tsy   2.20  1996   4.96  Kd=11.0uM     3425 
1nja   2.50  1996   6.31  Kd=0.49uM     3425 
4tln   2.30  1982   3.72  Ki=190uM      3428 
1tmn   1.90  1989   7.30  Ki=50nM       3428 
4tmn   1.70  1989  10.17  Ki=0.068nM    3428 
1fh7   1.82  2000   5.24  Ki=5.8uM      3520 
1fh9   1.72  2000   6.43  Ki=0.37uM     3520 
1fh8   1.95  2000   6.89  Ki=0.13uM     3520 
2fzc   2.10  2006   2.70  Ki=1990uM     3551 8684 
2h3e   2.30  2006   5.70  Kd=2uM        3551 8684 
1d09   2.10  2000   7.57  Ki=27nM       3551 8684 
2ctc   1.40  1994   3.89  Ki=0.13mM     3597 
8cpa   2.00  1994   9.15  Ki=710pM      3597 
7cpa   2.00  1994  13.96  Ki=11fM       3597 
1e1v   1.95  2001   4.92  Ki=12uM       3617 
1b39   2.10  1998   6.92  Kd=0.120uM    3617 
1pxo   1.96  2004   8.70  Ki=2.0nM      3617 
1bcu   2.00  1998   3.28  Kd=0.53mM     3698 13683 
1vzq   1.54  2005   7.44  Ki=36nM       3698 13683 
1sl3   1.81  2004  11.85  Ki=1.4pM      3698 
2brb   2.10  2005   4.86  Ki=13.7uM     3901 
2brm   2.20  2005   5.89  Ki=1.3uM      3901 
1nvq   2.00  2003   8.25  Ki=5.6nM      3901 
1jqd   2.28  2002   5.16  Ki=6.9uM      3993 
2aov   2.48  2005   7.04  Ki=91nM       3993
2aou   2.30  2005   7.73  Ki=18.6nM     3993 
1y1m   1.80  2005   1.82  Ki=15.3mM     3995 
1pb9   1.60  2003   3.62  Ki=241uM      3995 
1pbq   1.90  2003   6.27  Ki=0.54uM     3995 
1vfn   2.15  1997   5.60  Ki=2.5uM      4050 
1v48   2.20  2004   7.80  Ki=16nM       4050 
1b8o   1.50  1999  10.64  Ki=23pM       4050 
1p1q   2.00  2003   4.89  Kd=12.8uM     4292 
1syh   1.80  2005   6.31  Ki=487nM      4292 
1ftm   1.70  2000   7.61  Kd=24.8nM     4292 
1fcx   1.47  2000   7.19  Kd=64nM       4599 
1fd0   1.38  2002   8.40  Kd=4nM        4599 
1fcz   1.38  2000   9.22  Kd=0.6nM      4599 
1f4e   1.90  2000   2.96  Ki=1.1mM      4624 
1f4f   2.00  2000   4.62  Ki=24uM       4624 
1f4g   1.75  2000   6.48  Ki=330nM      4624 
1f5k   1.80  2001   3.74  Ki=180uM      4733 
1o3p   1.81  2003   6.66  Ki=0.22uM     4733 14381 
1sqa   2.00  2004   9.21  Ki=0.62nM     4733 
2b1v   1.80  2006   5.74  Ki=1.8uM      4767 
2fai   2.10  2006   6.24  Ki=570nM      4767 
2ayr   1.90  2005   9.29  Ki=0.51nM     4767 
1avn   2.00  1997   3.90  Kd=0.125mM    4795 
1ttm   1.95  2004   7.35  Kd=45nM       4795 
1if7   1.98  2001  10.52  Kd=30pM       4795 
2bok   1.64  2005   6.55  Ki=0.28uM     4945 7125 
1nfy   2.10  2003   8.89  Ki=1.3nM      4945 7125 
1mq6   2.10  2003  11.15  Ki=7pM        4945 7125 
2usn   2.20  1998   6.51  Ki=0.31uM     4955 
2d1o   2.02  2006   7.70  Ki=0.02uM     4955 
1hfs   1.70  1998   8.70  Ki=2nM        4955 
2flb   1.95  2006   5.74  Ki=1.8uM      4975 6122 8738 
2bz6   1.60  2006   7.09  Ki=0.081uM    4975 8738 
2b7d   2.24  2006   8.70  Ki=2nM        4975 6122 8738 
1loq   1.50  2002   3.70  Ki=0.2mM      5066 
1lol   1.90  2002   6.39  Ki=0.41uM     5066 
1x1z   1.45  2005  11.06  Ki=8.8pM      5066 
4tim   2.40  1992   2.16  Ki=6.9mM      5101 
1kv5   1.65  2002   4.22  Ki=60uM       5101 
1trd   2.50  1993   5.40  Ki=4uM        5101 
1bra   2.20  1994   1.82  Ki=15000uM    5270 
1j16   1.60  2002   3.84  Ki=143uM      5270 
1j17   2.00  2002   5.22  Ki=6.05uM     5270 
1utp   1.30  2004   1.44  Kd=36mM       5322 
1v2o   1.62  2004   4.73  Ki=18.45uM    5322 
1o3f   1.55  2003   7.96  Ki=0.011uM    5322 
1jys   1.90  2002   3.52  Ki=300uM      5354 
1nc1   2.00  2003   6.12  Ki=0.75uM     5354 
1y6q   2.20  2005  11.70  Ki=2pM        5354 
1bma   1.80  1995   4.59  Ki=26uM       5380 
1ela   1.80  1994   6.36  Ki=0.44uM     5380 
1elb   2.10  1994   7.15  Ki=70nM       5380 
1pr5   2.50  2003   3.92  Ki=120uM      5448 
1a69   2.10  1998   5.30  Ki=5uM        5448 
1k9s   2.00  2001   6.52  Ki=0.30uM     5448 
3pce   2.06  1998   2.00  Ki=10mM       5491 6979 
3pch   2.05  1998   5.40  Ki=4uM        5491 6979 
3pcj   2.13  1998   7.22  Kd=0.06uM     5491 6979 
1pz5   1.80  2003   5.40  Kd=4uM        6080 6088 
2cgr   2.20  1994   7.28  Kd=53nM       6080 6181 
1flr   1.85  1995  10.00  Kd=0.1nM      6080 6140 
2gss   1.90  1997   4.94  Ki=11.5uM     6616 
3gss   1.90  1997   5.82  Ki=1.5uM      6616 
10gs   2.20  1998   6.40  Ki=0.4uM      6616 
6std   1.80  1999   8.64  Ki=2.3nM      7927 
2std   2.10  1999   9.85  Ki=0.14nM     7927 
3std   1.65  1999  11.11  Ki=7.7pM      7927 
1jaq   2.25  1996   4.48  Ki=33uM       8178 
1zs0   1.56  2006   6.15  Ki=700nM      8178 
1zvx   1.87  2006   9.22  Ki=0.6nM      8178 
2d0k   1.90  2006   5.02  Kd=9.51uM     8428 
1dhi   1.90  1994   7.26  Kd=55nM       8428 
2drc   1.90  1994   9.89  Kd=0.13nM     8428 
1slg   1.76  1996   3.90  Kd=125uM      8446 
1df8   1.51  2000   9.70  Kd=0.20nM     8446 
2f01   0.85  2005  13.00  Kd=0.1pM      8446 
2g8r   1.70  2006   3.99  Ki=103uM      9391 
1o0h   1.20  2003   5.92  Ki=1.2uM      9391 
1u1b   2.00  2005   7.80  Kd=16nM       9391 
2c02   2.00  2006   4.04  Ki=92uM       9504 
1hi4   1.80  2001   4.49  Ki=32uM       9504 
2bzz   0.98  2006   6.43  Ki=0.37uM     9504 
1tyr   1.80  1995   7.00  Kd=0.1uM      9942 
1e5a   1.80  2000   7.64  Kd=23nM       9942 
2g5u   1.80  2006   8.49  Kd=3.2nM      9942 
1sv3   1.35  2004   4.74  Ki=18uM       10317 
1q7a   1.60  2004   7.19  Kd=64nM       10317 
1jq9   1.80  2002   8.45  Kd=3.57nM     10317 
1a08   2.20  1998   5.62  Kd=2.4uM      10788 
1a1b   2.20  1998   6.40  Kd=0.4uM      10788 
1is0   1.90  2002   7.00  Kd=0.1uM      10788 
1a30   2.00  1998   4.30  Ki=50uM       11009 
2f80   1.45  2006   8.18  Ki=6.6nM      11009 
2i0d   1.95  2006  12.10  Ki=0.8pM      11009 
1d7j   1.85  1999   3.30  Kd=500uM      11167 
1fki   2.20  1994   7.00  Ki=100nM      11167 
1fkb   1.70  1993   9.70  Kd=0.2nM      11167 
6rnt   1.80  1993   2.37  Kd=4.3mM      11324 
1det   1.80  1996   4.30  Kd=50uM       11324 
1rnt   1.90  1987   5.19  Kd=6.5uM      11324 
