,ids,Score,True
208,1qi0,4.879589918518512,2.35
12053,3kc1,6.273038799665419,9.0
7264,2p3d,6.6909208522718755,6.74
13714,4myd,6.1346807020094865,4.55
16474,1a94,6.370236178185756,7.85
7563,4hki,8.012560725034817,6.85
8588,2qoa,4.928433082892337,7.28
8838,3cqw,5.825938266808642,7.38
10682,4wht,5.449187299990669,8.1
516,4u5v,2.954792898681498,3.05
12734,5qim,8.589403459875333,11.22
2784,4aif,4.329920962977735,4.84
13288,4mmm,3.564832390621836,3.82
698,4tz8,3.627944011629058,3.3
13278,3t09,5.371540522226061,3.8
12255,2w77,3.4443654262834813,9.19
10220,1p2a,6.792496557827695,7.92
3079,3pax,5.0102063042419935,5.0
8985,2aow,4.720177327741024,7.42
13120,3iob,6.727695836035211,3.42
11513,4qmn,6.095786933927797,8.52
14023,1nc3,8.032778076100517,5.0
3041,5v8p,3.8641143797578588,4.99
12602,1o5p,4.612637911079346,10.0
16051,1fao,6.3432179739583425,7.37
14607,3rm4,6.7136792628522475,5.77
4634,3bt9,7.076317348109149,5.71
16332,1oau,4.8951103840673005,7.7
14457,3jup,6.1228495881758755,5.58
9739,5ni7,7.693994835267051,7.7
8463,5a6a,4.816700547614613,7.22
13814,3ujd,4.21728461061316,4.69
15187,4jfk,-0.33170087087420835,6.44
5466,6apt,5.881441525945408,6.05
6742,1zz3,2.0558727224406983,6.54
9661,1mm6,6.269475389675459,7.7
6714,4rxd,6.958139559835031,6.52
4454,4jin,2.5379331965503322,5.64
16149,5o07,3.87746420263085,7.47
7030,3lnj,3.666748879669419,6.66
15091,6d5j,7.587818552572427,6.34
13382,2q8m,7.298797109873192,4.03
11777,5x8i,9.994164871281427,8.7
13130,3muz,5.523344751133092,3.46
3062,1yid,3.78497852630098,5.0
9413,4zg9,8.585373324668394,7.59
16370,3ljg,6.914934139748855,7.73
2574,4m5l,7.000515246202128,4.72
14248,5hrv,6.919349508468224,5.29
9762,3e8n,7.2497391037328205,7.72
17135,2y7x,9.197953876123401,8.89
10594,3ant,6.654360710275086,8.07
3912,3chf,5.579774052367042,5.37
6683,2off,6.814891959905971,6.52
8694,4m84,6.277365268343459,7.31
6430,1pye,6.147697149727492,6.41
7772,1juj,5.620082812773227,6.96
3289,1b9t,4.554067600516709,5.1
10849,4xct,5.609074024321915,8.17
6102,1w51,6.754514015169633,6.3
10502,5t4h,7.583499492231166,8.03
13378,3fzn,9.30850107751673,4.01
5800,3dwb,5.4673599501057915,6.19
14619,5n31,5.876900215500821,5.79
8302,6f3g,4.889265206349881,7.16
16695,3b4f,6.363235299931053,8.14
10947,3u2q,7.147600364581914,8.22
3788,3v2o,3.800595300227876,5.31
3794,5j47,6.268860497722929,5.31
9267,5fi6,5.911741623365239,7.52
2583,6e49,1.6178029521156505,4.72
10028,5ake,8.776545455210872,7.82
5573,3qmk,6.830442058801869,6.1
3424,2r05,3.1441203533663886,5.15
10108,5uwn,6.824241280919131,7.87
8012,5bui,7.32116287860436,7.05
5762,3oik,6.331164610021407,6.17
16418,4knn,2.9032975497413402,7.78
13653,2r2w,5.870395695810207,4.47
8696,5hbh,7.159253678332868,7.31
7117,1a50,6.8541561448265345,6.7
1842,5vt1,8.054699344625035,4.3
7715,4k10,3.7867935688114587,6.92
7405,3sdk,5.776435760461622,6.8
16182,3ekr,7.310865290483684,7.52
7238,4xv9,10.39888230943433,6.72
14295,3bv9,8.152630148486342,5.36
4686,1h25,3.5218788539860957,5.74
7314,1w22,3.1309853722599437,6.76
2309,3wq6,8.82204745969806,4.59
