,ids,Score,True
13823,5h85,6.021066449190286,4.7
12582,1nfs,3.774584629802197,9.92
10494,6fii,4.573707101313768,8.02
4984,5j4v,5.51794407362232,5.85
10001,3mj2,6.825508106508078,7.82
1544,4bdf,4.061798438327728,4.09
8494,3biz,8.601382740444494,7.24
7016,6guf,6.312895651528178,6.65
15874,1q7a,4.556223426518951,7.19
15111,2zdk,7.094178848079616,6.37
10935,3nan,7.456239083067875,8.22
7051,6aps,7.046269134139751,6.66
10654,3skg,6.00927978537734,8.1
15409,3zj6,7.517906078403493,6.66
3563,2gnf,5.307117625609228,5.22
12360,3hqz,8.874246600632077,9.38
3807,4m7y,6.680964047642962,5.32
14189,4lrr,3.5419109966323603,5.22
11496,4h3i,7.296507933808957,8.52
4988,5kv9,7.809868630803379,5.85
16933,3lpi,8.879758403194511,8.52
10393,2r3m,7.037468030048123,8.0
3553,6g85,5.390883689552022,5.21
12283,2avv,-3.8808424042013736,9.26
17248,5kr0,7.181315705256156,9.15
5515,2x6i,5.329564886044946,6.08
10184,5kit,9.384310587760528,7.89
7680,1vj5,5.172567413056911,6.92
10085,5tpg,9.653781429704033,7.85
3093,4o7c,7.210260077045712,5.0
16118,4m2v,4.269039251340529,7.44
272,4wef,4.268098392569791,2.59
467,3nk8,4.786585658614219,3.0
12096,5nu1,9.08112440514278,9.0
16280,4rpo,5.107781507937982,7.64
8621,1nhg,4.904193004956473,7.3
1220,5mo2,4.290879028160496,3.84
4867,5un1,2.4029458921281464,5.8
13227,6gg4,4.600843838929622,3.69
2466,3qs4,5.420331828242444,4.68
10961,4u0i,9.036489176058556,8.22
9792,1d8f,5.013043697227763,7.74
13544,2cli,6.255073582980066,4.3
2360,1joc,4.575803660621791,4.62
9299,5hes,9.392622741624843,7.54
15482,4flp,6.253532648930354,6.72
15117,5nya,4.36239911141014,6.38
12836,5fsc,3.3232168949615994,2.36
534,4eh5,3.811204038493206,3.09
11471,3m2w,9.101978873171346,8.52
16703,4loo,7.9540941311870625,8.15
1653,2lh8,1.3079788997452955,4.18
17378,1if8,3.224323007319222,9.64
8756,1exv,8.301722926132822,7.35
9720,4tw9,6.8404951718088896,7.7
952,2bgr,2.468724514375256,3.6
9221,2gek,5.302457781776202,7.52
7076,2wf0,9.976095937881194,6.68
2737,2hb9,3.758604847373205,4.82
13640,4i8n,4.983136241657137,4.46
7932,5d29,6.513217077990826,7.01
6402,4rse,6.949382905764066,6.4
8188,5nin,6.432125423624698,7.12
9784,5klr,6.7447053772762695,7.72
17200,4uja,7.029874484851221,9.05
4969,4ehm,0.6793518908302985,5.85
13091,4b33,4.143838359801374,3.37
15158,5v79,5.998463613682242,6.41
7396,3fv8,5.156135722084495,6.8
5192,2xaq,10.753297140868245,5.96
16953,5amd,6.058848966755356,8.55
7633,4op1,8.709522232385147,6.89
9922,1j19,3.874048959376439,7.79
9829,4ph4,6.501511905882434,7.74
6869,6ea1,8.628341677977689,6.59
6271,2iws,7.223172808048834,6.36
15741,1xug,6.243123935758017,7.05
14652,1q54,2.8683598334988165,5.85
11950,5vrp,4.673778914503763,8.89
11067,2qmd,9.207495813892777,8.3
4443,3hv6,8.123633918339348,5.64
2277,4i11,5.285418607188033,4.57
9278,1h35,7.957094507581938,7.54
9035,2cfg,-14.456665429228673,7.44
1572,2c1n,2.872004735193329,4.11
2564,3d9k,4.269061476350862,4.72
14278,5wp5,8.049750575657688,5.34
4803,5jas,6.994455226718162,5.77
3359,4bio,6.399276858353417,5.12
15753,1ui0,4.4703904366152445,7.06
15250,6faf,5.453121126819503,6.51
6770,2n27,1.8726645539339941,6.55
9737,5uv5,2.0222610984813407,7.7
7588,3u3u,4.110826811120991,6.88
9590,5alu,9.183589111111896,7.66
2220,4nw2,4.228500832494241,4.54
8462,5cw8,8.536789452081779,7.22
6558,4ju4,5.3082066511155155,6.47
16848,1z1h,8.129597629445204,8.4
15442,1nki,4.059790779061037,6.7
2453,3oob,2.3998195740080557,4.67
4422,5uv1,5.561519910547369,5.62
12908,3djx,6.153260810647369,2.81
1731,5hna,4.309281336715718,4.23
11252,1nd5,2.881761514729251,8.4
15223,5yyf,5.8212932396491714,6.48
1385,1tlo,-1.6721727357254648,4.0
12560,5bvd,9.73665849323353,9.8
425,4x14,5.212794681758545,2.92
5975,3wf9,9.0988377383777,6.25
17171,2p4y,8.140458251160966,9.0
16621,2jkh,7.203140665402567,8.05
9091,4p4i,7.150645190997453,7.46
7178,5d75,7.746068034475853,6.7
1414,4ucd,4.192466682408653,4.0
3195,3fpm,6.366828343268122,5.05
2700,1ybg,7.029081792816034,4.8
7776,2e93,7.405462342795131,6.96
4756,1rhm,0.2843764155397633,5.76
8806,2y71,9.435783711690354,7.37
14952,4wrb,6.497096537163064,6.19
13736,2v54,6.65002683326027,4.6
12017,2asu,1.8136423348279322,9.0
401,4cd8,4.888161364170038,2.89
13519,3qwc,7.271467755501126,4.26
14466,3qps,6.567460919875424,5.6
738,4gnf,4.327542886872169,3.35
5869,5gjg,7.727332350765643,6.21
7295,5ih8,5.837910139041025,6.74
8128,4zx8,5.2331824245701295,7.1
4833,2q95,5.854890046934974,5.8
459,2xgo,4.546236988542929,3.0
11550,3kfc,10.133604586106872,8.55
2538,5vfj,0.03999020192475491,4.7
5397,4ii9,8.885936956066915,6.03
2796,1tkc,5.928847472984404,4.85
7075,2rcu,5.42697710633183,6.68
16240,3liw,6.979660778173566,7.6
17386,4zip,8.167165305243726,9.68
9102,1ogu,6.174663495597464,7.47
11342,3qlb,5.902214502269418,8.43
10135,2pj4,8.46390623486508,7.89
5448,4eos,5.775902360213644,6.05
12774,1eol,5.215106082833116,13.42
5241,6b5i,8.237574137976754,5.96
956,2wp1,3.141853402312484,3.6
6314,1qjb,5.304554341084224,6.38
13087,1tnh,3.839281634879797,3.37
2252,6b7e,6.181034665226083,4.55
8034,5ur6,6.957465401188282,7.06
1661,6f8g,4.929055383181644,4.18
7890,4gs8,2.3755498627250815,7.0
10626,1rhr,2.1099239475690816,8.1
1346,5qa7,3.554608885868934,3.96
4943,6g8n,-0.8133909281449688,5.84
16119,1n0s,7.689809124987784,7.45
7983,5q13,9.45174867744579,7.04
9952,4p44,6.751550680458647,7.8
17079,1d4l,8.705121680339333,8.77
2967,4civ,4.575899968999898,4.95
13741,3d7k,8.151259606182512,4.6
8996,5cao,5.89309483969636,7.42
3892,4el9,7.90419157465406,5.36
6178,5ey8,6.171040818913284,6.31
7281,4bo6,8.15658620032551,6.74
12657,3tki,7.410055511597159,10.3
7479,4cku,5.926810180370602,6.82
16176,3l4u,5.143452649521475,7.52
3675,3g2u,3.897963070494095,5.27
10292,3u7n,4.1626999852368,7.95
6927,6cmr,8.151711514725937,6.61
777,3d8y,4.3759563677129005,3.4
15933,4r75,7.757402789745373,7.24
4947,1ny0,4.045122272241656,5.85
14554,2uz9,5.011784279975594,5.71
14426,3ubd,8.053299168974094,5.54
8499,3kec,9.262776822926218,7.24
16287,1f0r,6.503882573651222,7.66
13884,4lzs,5.829575760166376,4.8
195,2xlc,-7.11552967467227,2.3
4112,4mvn,1.0785649347575434,5.46
13651,2ogy,6.26549711282596,4.48
5666,3bti,6.889116086079389,6.14
10890,5xxk,8.336334675557136,8.2
13902,4ciw,6.414212065296788,4.82
7805,5wdj,4.274017653654985,6.96
5658,3tn8,4.525582545607357,6.13
15632,4x8v,6.854408028276967,6.89
2814,4ikn,3.6458647782937454,4.85
5155,5svz,5.612822642731311,5.92
1576,3ncr,8.559866421143584,4.11
11327,4agd,6.364568800550996,8.41
7452,2ath,6.890768145180766,6.82
16003,1ydt,6.723324917336506,7.32
13031,1zc9,4.629454835564191,3.22
15833,5my8,9.120233014991019,7.14
6883,2y77,7.328956448894251,6.6
12254,1r6g,8.28814344481973,9.21
4319,2np9,6.054211347932664,5.57
7552,3qo2,3.541207204638501,6.85
3894,4kod,6.111107374383594,5.36
10199,3hha,2.5514756361795374,7.9
11408,5t28,6.604339620353644,8.49
3944,4ebv,8.389815458753654,5.38
152,2ay9,2.897578313749138,2.16
11861,4z9l,8.199398978562478,8.8
7454,2etk,6.349292810115864,6.82
3277,4f6x,4.297672472985431,5.09
16268,4avi,4.191192448482929,7.63
7336,2w10,5.45847735430961,6.77
15677,3t84,5.146786401071334,6.97
6130,4dj7,4.009043672135402,6.3
997,2qwg,5.958251161654163,3.64
7504,5wev,6.583922244194952,6.82
6113,2y4l,6.688839109637408,6.3
11411,5vzy,5.479754097534489,8.49
3751,3jzi,7.2368115560561455,5.3
16982,2cej,9.620777289360426,8.62
11297,4rcf,11.227660353066094,8.4
8467,6b30,7.577017197550882,7.22
12244,1x81,5.385120003539154,9.19
9023,4ov5,6.257644275841848,7.43
796,5yij,5.732133906532383,3.42
13424,5dnu,5.238560877070568,4.11
17075,4ei4,7.0584558481386805,8.74
11348,5t66,5.279647512838388,8.43
4300,4kww,4.936145161477679,5.55
7697,3lok,0.43980332113097453,6.92
3703,5urj,10.10894964131147,5.28
8511,4o0z,9.02222071942516,7.24
216,3dxg,5.948094331932258,2.4
3947,4qvw,3.337611293320214,5.38
1038,5wxo,6.74757240360915,3.68
15308,6f3b,5.451965426282219,6.56
5026,2eg7,4.974535162658501,5.89
12717,5j5x,4.788615542891245,11.02
124,4y4g,3.394677711517025,2.0
12773,1stp,5.664266133314028,13.4
2093,5afn,3.0053177555038073,4.47
16660,2vvu,8.147948079642985,8.1
7481,4gy5,2.97024668919929,6.82
8870,3hhu,7.888515534032946,7.39
13710,6edr,4.726704072441971,4.55
4729,5epk,6.4119154808957735,5.74
1190,4q9s,5.6125929842912115,3.81
10689,5lck,3.3407820614609687,8.1
8600,5j7p,-2.799684551571718,7.28
12026,2oo8,8.464039584927075,9.0
5624,5kbg,3.831436206232462,6.11
3903,6cer,2.674291043276349,5.36
8633,2a0c,5.620149487804224,7.3
16549,3uuo,6.36169436588134,7.96
742,4wet,6.168559026092834,3.35
17008,5n93,5.913067715648404,8.66
16409,4knn,2.9032975497413402,7.78
14639,4z84,6.680630672487976,5.82
11393,5ap2,6.971696816137791,8.48
14389,2o0u,8.411855260666613,5.49
13905,4io6,4.116405288714422,4.82
4333,6au5,5.107129574301566,5.57
514,2vcw,4.576181485797441,3.05
14160,3uu1,4.961778006727707,5.2
9653,1iem,3.1755613346499483,7.7
4412,4htp,4.416850386724507,5.62
13799,5a5q,4.649131378045137,4.68
14230,3bbf,8.686563796711784,5.28
11533,6b4h,4.217417960675154,8.52
3144,4mz6,4.409249433190827,5.02
10405,3dej,0.6862120106862309,8.0
15751,5nvx,7.330023249390208,7.05
11477,3psd,9.052054091628008,8.52
16581,3cyx,9.745778155806592,8.0
1240,5dtq,8.326088945793904,3.86
8085,5nme,7.447200912199368,7.09
8479,5e2m,4.243547164489272,7.23
12218,3snl,6.8950131221542525,9.15
3192,1uu8,5.499615848434872,5.05
127,5ekx,2.312475283401746,2.03
12957,4bps,5.6107705334439535,2.99
6235,5ewz,5.101877063526342,6.34
15818,2j7d,6.0852967290509055,7.13
10097,6cfd,7.039223805864382,7.86
9494,4o1d,7.568016068366263,7.62
2615,3rl7,3.972105704962962,4.74
8301,2a8h,4.162122134968157,7.17
15978,4iwz,5.401877661329779,7.29
301,5k5s,5.830909260786321,2.69
6004,5k6s,3.339485602524912,6.26
1693,5ofu,6.438392876538432,4.2
9966,5nvf,9.889825856107615,7.8
3737,2oyk,7.30664253852053,5.3
4464,6azk,7.810053839222815,5.64
13125,5qal,3.9588892321519658,3.46
